Chapter,Verse,Text_V1,Text_V2,Cambios_v1,Cambios_v2
1.0,1.0,"Bien aventurado el varón que no anduvo en consejo de malos, y en carrera de los pecadores no estuvo, y en asiento de escarnidores no se asentó.","Byenaventurado el varon que no anduvo en consejo de malos, y en carrera de pecadores no estuvo: y en assiento de escarnidores no se assento.","Bien | aventurado ⚠️ | varón ⚠️ | los | estuvo, ⚠️ | asiento ⚠️ | asentó. ⚠️",Byenaventurado ⚠️ | varon ⚠️ | estuvo: ⚠️ | assiento ⚠️ | assento. ⚠️
1.0,2.0," Mas sólo en ley de Adonay su voluntad, y en su ley fablará de día y de noche.",Mas solo en ley de .A. su voluntad: y en su lei pensara dia y noche. ,"sólo ⚠️ | Adonay | voluntad, ⚠️ | ley | fablará | de | día | de",solo ⚠️ | voluntad: ⚠️ | .A. | lei | pensara | dia
1.0,3.0,"Y será como árbol plantado sobre piélagos de aguas, que su fruta da en su hora, y su hoja no cae, y todo lo que faze fará prosperar.","Y sera como arbol plantado cerca pielagos de aguas: que su fruto daa en hora, y su hoja no caera: y todo lo que fara, fara prosperar. ","será ⚠️ | árbol ⚠️ | sobre | piélagos ⚠️ | aguas, ⚠️ | fruta ⚠️ | da ⚠️ | su | cae, | faze | fará ⚠️","sera ⚠️ | arbol ⚠️ | pielagos ⚠️ | aguas: ⚠️ | fruto ⚠️ | daa ⚠️ | fara ⚠️ | cerca | caera: | fara,"
1.0,4.0," No assí los malos, sino como tamo que lo empuxa viento.",No assi los malos: sino como tamo que lo empuxa viento.,"assí ⚠️ | malos, ⚠️",assi ⚠️ | malos: ⚠️
1.0,5.0," Por tanto, no se alevantarán malos en juizio, ni pecadores en compaña de justos.",Por tanto no se alevantaran malos en juyzio: ni pecadores en compaña de justos.,"tanto, ⚠️ | alevantarán ⚠️ | juizio, ⚠️",tanto ⚠️ | alevantaran ⚠️ | juyzio: ⚠️
1.0,6.0," Porque sabe Adonay carrera de justos, y carrera de malos se perderá.",Porque sabe .A. carrera de justos: y carrera de malos perescera.,"Adonay | justos, ⚠️ | se | perderá.",justos: ⚠️ | .A. | perescera.
2.0,1.0," ¿Por qué se congregarán gentes, y pueblos fablarán vanidad?",Por que se congregaran gentes: y pueblos pensaran vanidad. ,"¿Por ⚠️ | qué | congregarán ⚠️ | gentes, ⚠️ | fablarán | vanidad? ⚠️",Por ⚠️ | congregaran ⚠️ | gentes: ⚠️ | vanidad. ⚠️ | que | pensaran
2.0,2.0," Estarán reyes de tierra, y señores se aconsejarán a una sobre Adonay, y sobre su ungido:","Estarsean reyes de tierra, y señores se aconsejaran a una: contra .A. y contra su ungido.","Estarán ⚠️ | aconsejarán ⚠️ | una ⚠️ | sobre | Adonay, | sobre | ungido: ⚠️",Estarsean ⚠️ | aconsejaran ⚠️ | una: ⚠️ | ungido. ⚠️ | contra | .A. | contra
2.0,3.0," Arranquemos sus atamientos, y echemos de nos sus cuerdas.",Arranquemos sus atamientos: y echemos de nos sus cuerdas. ,"atamientos, ⚠️",atamientos: ⚠️
2.0,4.0," Están en los cielos reirá, Adonay escarnecerá dellos.",Morante en los cielos reyra: .A. escarnecera dellos. ,"Están | reirá, | Adonay | escarnecerá ⚠️",escarnecera ⚠️ | Morante | reyra: | .A.
2.0,5.0," Entonces fablará a ellos con su furor, y con su yra los turbará.","Entonces fablara a ellos en su furor, y en su yra los turbara. ",fablará ⚠️ | con | con | turbará. ⚠️,fablara ⚠️ | turbara. ⚠️ | en | en
2.0,6.0," Y yo enseñoré mi rey sobre Zion, monte de mi santidad.","Yo enseñoree mi rey, sobre Cion monte de mi santidad. ","Y | yo | enseñoré ⚠️ | rey ⚠️ | Zion,","enseñoree ⚠️ | rey, ⚠️ | Yo | Cion"
2.0,7.0," Contaré a fuero, Adonay dixo a mí: mi hijo tú, yo oy te engendré.","Recontare a fuero .A. dixo a mi, mi hijo tu, yo hoy te engendre. ","Contaré | fuero, ⚠️ | Adonay | mí: | tú, | oy ⚠️ | engendré. ⚠️","fuero ⚠️ | hoy ⚠️ | engendre. ⚠️ | Recontare | .A. | mi, | tu,"
2.0,8.0," Demanda de mí, y daré gentes tu heredad, y tu possesión atemos de tierra.","Demanda de mi, y dare gentes tu heredad: y tu possesion atemos de tierra. ","mí, | daré ⚠️ | heredad, ⚠️ | possesión ⚠️","dare ⚠️ | heredad: ⚠️ | possesion ⚠️ | mi,"
2.0,9.0," Quebrantarlos as con verdugo de fierro, como vaso de ollero los desmenuzarás.",Quebrantarlosas con verdugo de fierro: como vaso de olhero los desmenuzaras.,"Quebrantarlos ⚠️ | as | fierro, ⚠️ | ollero ⚠️ | desmenuzarás. ⚠️",Quebrantarlosas ⚠️ | fierro: ⚠️ | olhero ⚠️ | desmenuzaras. ⚠️
2.0,10.0," Y agora, reyes, entended; castigadvos, juezes de tierra.",Y agora reyes entended: sed castigados juezes de tierra. ,"agora, ⚠️ | reyes, ⚠️ | entended; ⚠️ | castigadvos, ⚠️",agora ⚠️ | reyes ⚠️ | entended: ⚠️ | castigados ⚠️ | sed
2.0,11.0," Servid Adonay con temor, y agradadvos con tiembla.",Servid .A. con temor: y agra dadvos con temblor. ,"Adonay | temor, ⚠️ | agradadvos ⚠️ | tiembla. ⚠️",temor: ⚠️ | dadvos ⚠️ | temblor. ⚠️ | .A. | agra
2.0,12.0," Besad hijo, porque no se ensañe, y deperdades carrera, porque encenderá como poco su furor. Bien aventurados todos enfiuzantes en él.","Besad al hijo, porque no se ensañe y vos deperdades de car rera: porque encendera como poco su furor: bien aventurados todos enfiuzantes en el.","ensañe, ⚠️ | carrera, | encenderá ⚠️ | furor. ⚠️ | Bien ⚠️ | él.",ensañe ⚠️ | encendera ⚠️ | furor: ⚠️ | bien ⚠️ | al | vos | de | car | rera: | el.
3.0,1.0," Psalmo a David, en su fuir delante Absalon su hijo.",Psalmo de David: en su fuyr delante Absalon su hijo.,"a | David, ⚠️ | fuir ⚠️",David: ⚠️ | fuyr ⚠️ | de
3.0,2.0," Adonay, quánto se amuchiguaron mis angustiadores, muchos alevantantes sobre mí.",.A. quanto se muchiguaron mis angustiadores: muchos alevantes contra mi.,"Adonay, | quánto ⚠️ | amuchiguaron ⚠️ | angustiadores, ⚠️ | alevantantes ⚠️ | sobre | mí.",quanto ⚠️ | muchiguaron ⚠️ | angustiadores: ⚠️ | alevantes ⚠️ | .A. | contra | mi.
3.0,3.0, Muchos dizientes por mi alma: no salvación a él en el Dio. Selah.,Muchos dizientes por mi alma no salvacion a el en el ..D.: סלה.,alma: ⚠️ | salvación ⚠️ | él | Dio. | Selah.,alma ⚠️ | salvacion ⚠️ | el | ..D.: | סלה.
3.0,4.0," Y tú, Adonay, amparo por mí; mi honra, y enaltecién mi cabeça.",Y tu .A. amparo por mi: mi honra y enalticiente mi cabeça.,"tú, | Adonay, | mí; | honra, ⚠️ | enaltecién ⚠️",honra ⚠️ | enalticiente ⚠️ | tu | .A. | mi:
3.0,5.0," (Con) mi boz a Adonay clamava, y respondióme de monte de su santidad. Selah.",(Con) mi boz a .A. clamava: y respondiome de monte de. su santidad: סלה.,"Adonay | clamava, ⚠️ | respondióme ⚠️ | de ⚠️ | santidad. ⚠️ | Selah.",clamava: ⚠️ | respondiome ⚠️ | de. ⚠️ | santidad: ⚠️ | .A. | סלה.
3.0,6.0," Yo yazí, y dormí, y desperté, porque Adonay me sustentará.","Yo yazi y dormi, y, despertee porque .A. me sustentava.","yazí, | dormí, ⚠️ | y | desperté, ⚠️ | Adonay | sustentará. ⚠️","dormi, ⚠️ | despertee ⚠️ | sustentava. ⚠️ | yazi | y, | .A."
3.0,7.0," No temeré de miliarias de pueblo, que derredor lidiaron sobre mí.",No temere de millarias de pueblo: que derredor lidiaron contra mi.,"temeré ⚠️ | miliarias ⚠️ | pueblo, ⚠️ | sobre | mí.",temere ⚠️ | millarias ⚠️ | pueblo: ⚠️ | contra | mi.
3.0,8.0," Alevántate Adonay, sálvame mi Dio, porque feriste todos mis enemigos quixada, dientes de malos quebrantaste.",Alevantate .A. salvame mi .D. porque feriste todos mis enemigos (en) quixada: dientes de malos quebraste.,"Alevántate ⚠️ | Adonay, | sálvame ⚠️ | Dio, | quixada, ⚠️ | quebrantaste. ⚠️",Alevantate ⚠️ | salvame ⚠️ | quixada: ⚠️ | quebraste. ⚠️ | .A. | .D. | (en)
3.0,9.0," A Adonay la salvación, sobre tu pueblo tu bendición. Selah.",De .A. la salvacion: sobre tu pueblo bendición: סלה.,"A | Adonay | salvación, ⚠️ | tu | bendición. ⚠️ | Selah.",salvacion: ⚠️ | bendición: ⚠️ | De | .A. | סלה.
4.0,1.0, Al vencedor en los Neghinoth; psalmo de David.,Al vencedor en Neghinoth psalmo de David.,los | Neghinoth; ⚠️,Neghinoth ⚠️
4.0,2.0," En mi llamar, respóndeme, Dio de mi justedad; en angustia, feziste ensanchar a mí; apiádame, y oye mi oración.","En mi llamar respondeme .D. de mi justedad; en angustia feziste ensanchara mi: apiadame, y oye mi oracion.","llamar, ⚠️ | respóndeme, ⚠️ | Dio | angustia, ⚠️ | ensanchar ⚠️ | a | mí; | apiádame, ⚠️ | oración. ⚠️","llamar ⚠️ | respondeme ⚠️ | angustia ⚠️ | ensanchara ⚠️ | apiadame, ⚠️ | oracion. ⚠️ | .D. | mi:"
4.0,3.0," Hijos de varón, ¿fasta quándo mi honrra por infamia, amades vanidad, buscades mentira? Selah.","Hijos de varon, fasta quando mi honrra por ynfamia: amades vanidad, buscades mentira? סלה.","varón, ⚠️ | ¿fasta ⚠️ | quándo ⚠️ | infamia, ⚠️ | Selah.","varon, ⚠️ | fasta ⚠️ | quando ⚠️ | ynfamia: ⚠️ | סלה."
4.0,4.0, Y sabed que fizo apartar Adonay bueno para él; Adonay oirá en mi llamar a él.,Y sabed que aparto .A. bueno para si .A. oyra en mi llamara el.,fizo | apartar ⚠️ | Adonay | él; | Adonay | oirá | llamar ⚠️ | a | él.,aparto ⚠️ | llamara ⚠️ | .A. | si | .A. | oyra | el.
4.0,5.0," Estremecedvos, y no pequedes; dezid en vuestro coraçón, sobre vuestra yazida, y callad. Selah.",Estremecedvos y no pequedes: dezid en vuestro coraçon sobre vuestra yazida y callad. סלה.,"Estremecedvos, ⚠️ | pequedes; ⚠️ | coraçón, ⚠️ | yazida, ⚠️ | Selah.",Estremecedvos ⚠️ | pequedes: ⚠️ | coraçon ⚠️ | yazida ⚠️ | סלה.
4.0,6.0," Sacrificad sacrificios de justedad, y enfiuzad en Adonay.",Sacrificad sacreficios de justedad: y confiad en .A.,"sacrificios ⚠️ | justedad, ⚠️ | enfiuzad | Adonay.",sacreficios ⚠️ | justedad: ⚠️ | confiad | .A.
4.0,7.0," Muchos dizientes: ¿quién nos mostrará bien? Alça sobre nos luz de tus fazes, Adonay.",Muchos dizientes quien nos mostrara bien: alça sobre nos luz de tus fazes .A.,"dizientes: ⚠️ | ¿quién ⚠️ | mostrará ⚠️ | bien? ⚠️ | Alça ⚠️ | fazes, ⚠️ | Adonay.",dizientes ⚠️ | quien ⚠️ | mostrara ⚠️ | bien: ⚠️ | alça ⚠️ | fazes ⚠️ | .A.
4.0,8.0," Diste alegría en mi coraçón, de hora que su civera y su mosto se amuchiguaron.",Diste alegria en mi coraçon: de hora (que) su civera y su mosto se amuchiguaron.,"alegría ⚠️ | coraçón, ⚠️ | que ⚠️",alegria ⚠️ | coraçon: ⚠️ | (que) ⚠️
4.0,9.0," En paz a una yazeré y dormiré, porque tú Adonay a solas a fiuzia me farás estar.",En paz a una yazere y dormire porque tu .A. a solas: a fiuzia me faras estar.,"yazeré ⚠️ | dormiré, ⚠️ | tú | Adonay | solas ⚠️ | farás ⚠️",yazere ⚠️ | dormire ⚠️ | solas: ⚠️ | faras ⚠️ | tu | .A.
5.0,1.0, Al vencedor sobre los Nechiloth; psalmo de David.,"Al vencedor en Neghinoth, sobre la ochava psalmo de David.",los | Nechiloth; ⚠️,"Neghinoth, ⚠️ | en | la | ochava"
5.0,2.0," Mis dichos escucha, Adonay; entiende mi fabla.",Mys dichos escucha .A.: entiende mi pensamiento.,"Mis | escucha, ⚠️ | Adonay; | fabla.",escucha ⚠️ | Mys | .A.: | pensamiento.
5.0,3.0," Escucha a boz de mi clamor, mi rey y mi Dio, porque a ti oraré.",Escucha a boz de mi clamor mi rey y mi .D. porque a ti oraree.,"clamor, ⚠️ | Dio, | oraré. ⚠️",clamor ⚠️ | oraree. ⚠️ | .D.
5.0,4.0," Adonay, por la mañana oirás mi boz, por la mañana ordenaré a ti, y esperaré.",.A. por la mañana oyras mi boz: por la mañana ordenare a ti (oracion) y esperare.,"Adonay, | oirás | boz, ⚠️ | ordenaré ⚠️ | ti, ⚠️ | esperaré. ⚠️",boz: ⚠️ | ordenare ⚠️ | ti ⚠️ | esperare. ⚠️ | .A. | oyras | (oracion)
5.0,5.0," Porque no Dio envoluntán malicia tú, no habitará contigo malo.",Porque no .D. envoluntante malicia tu: no habitara contigo malo.,"Dio | envoluntán ⚠️ | tú, | habitará ⚠️",envoluntante ⚠️ | habitara ⚠️ | .D. | tu:
5.0,6.0," No estarán locos delante tus ojos, aborreciste todos obrantes tortura.",No se estaran locos delante tus ojos: aboreciste todos obrantes tortura.,"estarán ⚠️ | ojos, ⚠️ | aborreciste ⚠️",estaran ⚠️ | ojos: ⚠️ | aboreciste ⚠️ | se
5.0,7.0, Deperderás fablantes mentira; varón de sangres y engaño abominará Adonay,Deperderas fablantes mentira; varon de sangres y engaño abominara .A.,Deperderás ⚠️ | varón ⚠️ | abominará ⚠️ | Adonay,Deperderas ⚠️ | varon ⚠️ | abominara ⚠️ | .A.
5.0,8.0," Y yo con muchedumbre de tu merced verné a tu casa, encorvarme e a palacio de tu santidad con tu temor.",Y yo en muchedumbre de tu merced verne a tu casa: encorvarmee a palacio de tu santidad en tu temor.,"con | verné ⚠️ | casa, ⚠️ | encorvarme ⚠️ | e | con",verne ⚠️ | casa: ⚠️ | encorvarmee ⚠️ | en | en
5.0,9.0," Adonay, guíame en tu justedad por mis enemigos, aderesça delante mí tu carrera.",.A. guiame en tu justedad por mis enemigos: aderesca delante mi tu carrera.,"Adonay, | guíame ⚠️ | enemigos, ⚠️ | aderesça ⚠️ | mí",guiame ⚠️ | enemigos: ⚠️ | aderesca ⚠️ | .A. | mi
5.0,10.0," Porque no en su boca derechedad, su entraña torturas, fuessa abierta su garganta, su lengua alizarán.","Porque no en su boca (palabra) derecha, su entraña torturas: fuessa abierta su garganta: su lengua alizan.","derechedad, ⚠️ | torturas, ⚠️ | garganta, ⚠️ | alizarán. ⚠️","derecha, ⚠️ | torturas: ⚠️ | garganta: ⚠️ | alizan. ⚠️ | (palabra)"
5.0,11.0," Desoíalos Dio, cayan de sus consejos, con muchedumbre de sus rebellos empúxalos, porque rebellaron en ti.","Desolalos .D. cayan de sus consejos, en muchedumbre de sus rebellos empuxalos: porque rebellaron en ti.","Desoíalos ⚠️ | Dio, | con | empúxalos, ⚠️",Desolalos ⚠️ | empuxalos: ⚠️ | .D. | en
5.0,12.0," Y alegrarse an todos esperantes en ti; para siempre cantarán, y ampararás sobre ellos; y agozarse an en ti amantes tu nombre.",Y elegrarsean todos esperanes en ti para siempre cantaran y ampararas sobre ellos: y agozarsean en ti amantes tu nombre.,"alegrarse ⚠️ | an | esperantes ⚠️ | ti; ⚠️ | cantarán, ⚠️ | ampararás ⚠️ | ellos; ⚠️ | agozarse ⚠️ | an",elegrarsean ⚠️ | esperanes ⚠️ | ti ⚠️ | cantaran ⚠️ | ampararas ⚠️ | ellos: ⚠️ | agozarsean ⚠️
5.0,13.0," Porque tú bendezirás justo, Adonay; como pavez de voluntad lo encoronarás.",Porque tu bendiziras justo D .A. como pavez de voluntad lo arrodearas.,"tú | bendezirás ⚠️ | justo, ⚠️ | Adonay; | encoronarás.",bendiziras ⚠️ | justo ⚠️ | tu | D | .A. | arrodearas.
6.0,1.0, Al vencedor en Neghinoth; sobre la ochava; psalmo de David.,"Al vencedor en Neghinoth, sobre la ochava psalmo de David.",Neghinoth; ⚠️ | ochava; ⚠️,"Neghinoth, ⚠️ | ochava ⚠️"
6.0,2.0," Adonay, no con tu furor me reprehendas, y no con tu saña me castigues.",.A. no con tu furor me reprehendas: y no con tu saña me castigues.,"Adonay, | reprehendas, ⚠️",reprehendas: ⚠️ | .A.
6.0,3.0," Apiádame, Adonay, que enflaquecido yo; melezíname, Adonay, porque fueron conturbados mis huessos.",Apiadame .A. que enflaquecido yo meleziname .A.: porque fueron conturbados mis huessos.,"Apiádame, ⚠️ | Adonay, | yo; ⚠️ | melezíname, ⚠️ | Adonay,",Apiadame ⚠️ | yo ⚠️ | meleziname ⚠️ | .A. | .A.:
6.0,4.0," Y mi alma fue conturbada mucho; y tú, Adonay, ¿fasta quándo?",Y mi alma fue conturbada mucho: y tu .A. fasta quando.,"mucho; ⚠️ | tú, | Adonay, | ¿fasta ⚠️ | quándo? ⚠️",mucho: ⚠️ | fasta ⚠️ | quando. ⚠️ | tu | .A.
6.0,5.0," Tórnate, Adonay, escapa mi alma, sálvame por tu merced.",Tornate .A. escapa mi alma: salva por tu merced.,"Tórnate, ⚠️ | Adonay, | alma, ⚠️ | sálvame",Tornate ⚠️ | alma: ⚠️ | .A. | salva
6.0,6.0," Porque no en muerte memoria de ti; en fuessa, ¿quién loará a ti?",Porque no en muerte memoria de ti: en fuessa quien loara a ti?,"ti; | fuessa, ⚠️ | ¿quién ⚠️ | loará ⚠️",fuessa ⚠️ | quien ⚠️ | loara ⚠️ | ti:
6.0,7.0," Lazré en mi sospiro, fago nadar en toda noche mi lecho, con mi lágrima mi lecho desliyó.",Lazree en mi sospiro fago nadar en toda noche mi lecho: con mi lagrima mi lecho deslyo.,"Lazré ⚠️ | sospiro, ⚠️ | lecho, ⚠️ | lágrima ⚠️ | desliyó. ⚠️",Lazree ⚠️ | sospiro ⚠️ | lecho: ⚠️ | lagrima ⚠️ | deslyo. ⚠️
6.0,8.0," Encarcomióse de saña mi ojo, envejecióse por todos mis angustiadores.",Encarcomeciose de saña mi ojo: envejeciose por todos mis angustiadores.,"Encarcomióse ⚠️ | ojo, ⚠️ | envejecióse ⚠️",Encarcomeciose ⚠️ | ojo: ⚠️ | envejeciose ⚠️
6.0,9.0," Apartadvos de mí todos obrantes tortura, porque oyó Adonay boz de mi lloro.",Apartadvos de mi todos obrantes tortura: porque oyo .A. boz de mi lloro.,"mí | tortura, ⚠️ | oyó | Adonay",tortura: ⚠️ | mi | oyo | .A.
6.0,10.0," Oyó Adonay mi rogativa, Adonay mi oración tomó.",Oyo .A. mi rogativa: .A. mi oracion tomara.,"Oyó | Adonay | rogativa, ⚠️ | Adonay | oración ⚠️ | tomó.",rogativa: ⚠️ | oracion ⚠️ | Oyo | .A. | .A. | tomara.
6.0,11.0," Arregistarse an y conturbarse an mucho todos mis enemigos; tornarse an, arregistarse an súbito.",Arregistrarsean y conturbarsean mucho todos mis enemigos: tornarsean arregistrarsean subito.,"Arregistarse ⚠️ | an | conturbarse ⚠️ | an | enemigos; ⚠️ | tornarse ⚠️ | an, | arregistarse ⚠️ | an | súbito. ⚠️",Arregistrarsean ⚠️ | conturbarsean ⚠️ | enemigos: ⚠️ | tornarsean ⚠️ | arregistrarsean ⚠️ | subito. ⚠️
7.0,1.0," Sigayon de David, que cantó a Adonay, sobre palabras de Chus, hijo de Binyamin.",Sigayon de David que canto a .A. sobre palabras de Chus hijo de Binyamin.,"David, ⚠️ | cantó ⚠️ | Adonay, | Chus, ⚠️",David ⚠️ | canto ⚠️ | Chus ⚠️ | .A.
7.0,2.0," Adonay mi Dio, en ti confié; sálvame de todos mis persiguientes, y escápame.",".A. Mi .D. en tu confie: salvame de todos mis persiguientes, y escapame,","Adonay | mi | Dio, | ti | confié; ⚠️ | sálvame ⚠️ | escápame. ⚠️","confie: ⚠️ | salvame ⚠️ | escapame, ⚠️ | .A. | Mi | .D. | tu"
7.0,3.0," Porque no arrebaté como león mi alma, descargán y no escapán.",Porque no arrebate como leon mi alma despedaçador y no escapador.,"arrebaté ⚠️ | león ⚠️ | alma, ⚠️ | descargán | escapán.",arrebate ⚠️ | leon ⚠️ | alma ⚠️ | despedaçador | escapador.
7.0,4.0," Adonay mi Dio, si fize esto, si ay tortura en mis palmas;",A. mi .D. si fize esto si ay tortura en mis palmas.,"Adonay | Dio, | esto, ⚠️ | palmas; ⚠️",esto ⚠️ | palmas. ⚠️ | A. | .D.
7.0,5.0," Si gualardoné (a) mi pacífico mal, y escapé mi angustiador de balde;",Si gualardone (a) mi pacifico mal: y escape mi angustiador en vano.,"gualardoné ⚠️ | pacífico ⚠️ | mal, ⚠️ | escapé ⚠️ | de | balde;",gualardone ⚠️ | pacifico ⚠️ | mal: ⚠️ | escape ⚠️ | en | vano.
7.0,6.0," Persigue enemigo mi alma (si) alcançasse, y rehollaría en tierra mis vidas, y mi honrra a polvo faría morar. Selah.",Persigua enemiguo mi alma y alcanse y reholle a tierra mis vidas: y honra a polvo faga morrar. סלה,"Persigue ⚠️ | enemigo ⚠️ | (si) | alcançasse, ⚠️ | rehollaría ⚠️ | en | vidas, ⚠️ | mi | honrra ⚠️ | faría | morar. ⚠️ | Selah.",Persigua ⚠️ | enemiguo ⚠️ | alcanse ⚠️ | reholle ⚠️ | vidas: ⚠️ | honra ⚠️ | morrar. ⚠️ | y | a | faga | סלה
7.0,7.0," Levántate, Adonay, con tu furor; enxálçate por sañas de mis angustiadores, y despierta a mi juizio que encomendaste.","Levantate .A, en tu furor: enxalçate por sañas de mis angustiadores: y despiertate a mi (en) juizio que encomendaste.","Levántate, ⚠️ | Adonay, | con | furor; ⚠️ | enxálçate ⚠️ | angustiadores, ⚠️ | despierta ⚠️","Levantate ⚠️ | furor: ⚠️ | enxalçate ⚠️ | angustiadores: ⚠️ | despiertate ⚠️ | .A, | en | (en)"
7.0,8.0," Y compaña de nasciones te arrodeará, y sobre ella a altura tórnate.",Y compaña de nasciones te arrodeara: y contra ella a altura tornate.,"arrodeará, ⚠️ | sobre | tórnate. ⚠️",arrodeara: ⚠️ | tornate. ⚠️ | contra
7.0,9.0," Adonay juzgará pueblos; júzgame, Adonay, como mi justedad, y como mi perfición sobre mí.",.A. juzgara pueblos: juzgame .A. como mi justedad: y como mi perficion sobre mi.,"Adonay | juzgará ⚠️ | pueblos; ⚠️ | júzgame, ⚠️ | Adonay, | justedad, ⚠️ | perfición ⚠️ | mí.",juzgara ⚠️ | pueblos: ⚠️ | juzgame ⚠️ | justedad: ⚠️ | perficion ⚠️ | .A. | .A. | mi.
7.0,10.0," Atéme agora mal a malos, y endereçarás justo, y prován coraçones y riñones Dio justo.","Atemese aguora mal de malos y adereçaras justo: y provante coraçones y riñones, .D. justo.","Atéme | agora ⚠️ | a | malos, ⚠️ | endereçarás ⚠️ | justo, ⚠️ | prován ⚠️ | riñones ⚠️ | Dio","aguora ⚠️ | malos ⚠️ | adereçaras ⚠️ | justo: ⚠️ | provante ⚠️ | riñones, ⚠️ | Atemese | de | .D."
7.0,11.0," Mi amparo sobre Dio, salván derechos de coraçón",Mi amparo cerca el .D. salvante derechos de coraçon.,"sobre | Dio, | salván ⚠️ | coraçón ⚠️",salvante ⚠️ | coraçon. ⚠️ | cerca | el | .D.
7.0,12.0," Dio juzgán justo, y Dio se ensaña en todo día.",El .D. juzga justo: y el .D. se ensaña en cada dia.,"Dio | juzgán ⚠️ | justo, ⚠️ | Dio | todo | día. ⚠️",juzga ⚠️ | justo: ⚠️ | dia. ⚠️ | El | .D. | el | .D. | cada
7.0,13.0," Si no tornaré, su espada acecalará; su arco armó y aparejólo.",Si no se tornare su espada acecalara: su armo y aparejolo.,"tornaré, ⚠️ | acecalará; ⚠️ | arco ⚠️ | armó | aparejólo. ⚠️",tornare ⚠️ | acecalara: ⚠️ | armo ⚠️ | aparejolo. ⚠️ | se
7.0,14.0," Y para él aparejó armas de muerte, sus saetas para persiguientes obró.",Y por el aparejo armas de muerte: sus saetas contra perseguidores obra.,"para | él | aparejó ⚠️ | muerte, ⚠️ | para | persiguientes | obró. ⚠️",aparejo ⚠️ | muerte: ⚠️ | obra. ⚠️ | por | el | contra | perseguidores
7.0,15.0," He se adolorió de tortura, y concibió lazerio, y parió falsedad.",He parturio tortura: y concibio lazerio y pario falsedad.,"se | adolorió | de | tortura, ⚠️ | concibió ⚠️ | lazerio, ⚠️ | parió ⚠️",tortura: ⚠️ | concibio ⚠️ | lazerio ⚠️ | pario ⚠️ | parturio
7.0,16.0," Pozo tajó y cavólo, y cayó en fuessa que obró.",Pozo tajo y cavolo: y cayo en fuessa (que) obro. Loare a .A. como su justedad: y psalmeare nombre de .A. alto.,"tajó ⚠️ | cavólo, ⚠️ | cayó ⚠️ | que ⚠️ | obró. ⚠️",tajo ⚠️ | cavolo: ⚠️ | cayo ⚠️ | (que) ⚠️ | obro. ⚠️ | Loare | a | .A. | como | su | justedad: | y | psalmeare | nombre | de | .A. | alto.
7.0,17.0," Tornarse a su lazerio en su cabeça, y sobre su meollera su falsedad descenderá.",Tornese su trabajo en su cabeça: y sobre su meollera su falsedad descendera. ,"Tornarse ⚠️ | a | lazerio | cabeça, ⚠️ | descenderá. ⚠️",Tornese ⚠️ | cabeça: ⚠️ | descendera. ⚠️ | trabajo
7.0,18.0," Loaré a Adonay como su justedad, y psalmearé nombre de Adonay alto.",Loare a .A. como su justedad: y psalmeare nombre de .A. alto.,"Loaré ⚠️ | Adonay | justedad, ⚠️ | psalmearé ⚠️ | Adonay",Loare ⚠️ | justedad: ⚠️ | psalmeare ⚠️ | .A. | .A.
8.0,1.0, Al vencedor sobre Gittith; psalmo de David.,Al vencedor sobre el Gitith Psalmo de David.,Gittith; ⚠️ | psalmo ⚠️,Gitith ⚠️ | Psalmo ⚠️ | el
8.0,2.0," Adonay, nuestro Señor, quán fuerte tu nombre en toda la tierra, que diste tu loor sobre los cielos.",".A. Nuestro señor, quan fuerte tu nombre en toda la tierra: que diste tu loor sobre los cielos. ","Adonay, | nuestro ⚠️ | Señor, ⚠️ | quán ⚠️ | tierra, ⚠️","Nuestro ⚠️ | señor, ⚠️ | quan ⚠️ | tierra: ⚠️ | .A."
8.0,3.0," De boca de chiquitos y alechantes acimentaste fortaleza por tus angustiadores, para fazer cessar enemigo y vengánse.",De boca de chiquitos y alechantes acimentaste fortaleza por tus angustiadores: para baldares enemigo y vengador.,"angustiadores, ⚠️ | fazer | cessar | vengánse.",angustiadores: ⚠️ | baldares | vengador.
8.0,4.0," Quando veo tus cielos, fecha de tus dedos, luna y estrellas que compusiste;","Quando veo tus cielos, fecha de tus dedos: luna y estrellas que compusiste.","dedos, ⚠️ | compusiste; ⚠️",dedos: ⚠️ | compusiste. ⚠️
8.0,5.0," ¿Qué hombre que lo enmientes, y hijo de hombre que lo visites?",Que hombre que lo enmientes? Y hijo de hombre que lo visites?,"¿Qué | enmientes, ⚠️ | y",enmientes? ⚠️ | Que | Y
8.0,6.0," Y menguástelo poco de ángeles, y de honrra y fermozura lo encoronaste.",Y menguastelo poco de angeles: y de honra y fermosura lo encoronaste.,"menguástelo ⚠️ | ángeles, ⚠️ | honrra ⚠️ | fermozura ⚠️",menguastelo ⚠️ | angeles: ⚠️ | honra ⚠️ | fermosura ⚠️
8.0,7.0," Fezístelo podestar en obras de tus manos, todo pusiste debaxo de sus pies;",Fezistelo podestar en obras de tus manos: todo pusiste debaxo de sus pies.,"Fezístelo ⚠️ | manos, ⚠️ | pies; ⚠️",Fezistelo ⚠️ | manos: ⚠️ | pies. ⚠️
